Tier,Name,Date Made,
S,"  Kenrith, the Returned King",2019,
S,"  Kess, Dissident Mage",2019,
S,"  Kraum, Ludevic's Opus",2016,
S,"  Najeela, the Blade-Blossom",2018,
S,  The First Sliver,2019,
S,"  Thrasios, Triton Hero",2016,
S,  Tymna the Weaver,2016,
S,  Zur the Enchanter,2006,
A,"  Breya, Etherium Shaper",2016,
A,"  Cazur, Ruthless Stalker ",2020,
A,  Elsha of the Infinite,2019,
A,"  Jeleva, Nephalia's Scourge",2013,
A,"  Kinnan, Bonder Prodigy",2019,
A,"  Korvold, Fae-Cursed King",2019,
A,"  Rielle, the Everwise",2019,
A,"  Selvala, Heart of the Wilds",2014,
A,"  Sidisi, Brood Tyrant",2014,
A,"  Tana, the Bloodsower",2016,
A,"  Tasigur, the Golden Fang",2015,
A,  The Gitrog Monster,2016,
A,"  Ukkima, Stalking Shadow",2020,
A,"  Urza, Lord High Artificer",,
A,  Vial Smasher the Fierce,,
A,"  Yidris, Maelstrom Wielder",,
A,"  Yisan, the Wanderer Bard",2015,
B,"  Akiri, Line-Slinger",,
B,"  Animar, Soul of Elements",,
B,  Anje Falkenrath,,
B,"  Baral, Chief of Compliance",,
B,"  Brago, King Eternal",,
B,"  Brallin, Skyshark Rider   Flip",,
B,"  Bruse Tarl, Boorish Herder",,
B,"  Chulane, Teller of Tales",,
B,"  Circu, Dimir Lobotomist",,
B,"  Derevi, Empyrial Tactician",,
B,"  Edric, Spymaster of Trest",,
B,"  Emry, Lurker of the Loch",,
B,  General Tazri,,
B,"  Godo, Bandit Warlord",,
B,"  Golos, Tireless Pilgrim",,
B,  Grand Arbiter Augustin IV,,
B,"  Haldan, Avid Arcanist",,
B,"  Hapatra, Vizier of Poisons",,
B,"  Heliod, Sun-Crowned",,
B,"  Ikra Shidiqi, the Usurper",,
B,"  Inalla, Archmage Ritualist",,
B,"  Ishai, Ojutai Dragonspeaker",,
B,"  Jace, Vryn's Prodigy  Flip",,
B,"  Jhoira, Weatherlight Captain",,
B,"  Kroxa, Titan of Death's Hunger",,
B,"  K'rrik, Son of Yawgmoth",,
B,"  Kykar, Wind's Fury",,
B,  Meren of Clan Nel Toth,,
B,  Mizzix of the Izmagnus,,
B,"  Momir Vig, Simic Visionary",,
B,"  Narset, Enlightened Master",,
B,"  Nin, the Pain Artist",,
B,"  Niv-Mizzet, Parun",,
B,  Niv-Mizzet Reborn,,
B,"  Oona, Queen of the Fae",,
B,"  Pako, Arcane Retriever",,
B,"  Pir, Imaginative Rascal",,
B,  Prime Speaker Vannifar,,
B,"  Prossh, Skyraider of Kher",,
B,"  Ramos, Dragon Engine",,
B,"  Rashmi, Eternities Crafter",,
B,  Scion of the Ur-Dragon,,
B,"  Shabraz, the Skyshark",,
B,  Sidar Kondo of Jamuraa,,
B,"  Silas Renn, Seeker Adept",,
B,"  Sisay, Weatherlight Captain",,
B,  Sliver Overlord,,
B,  Sliver Queen,,
B,"  Taigam, Ojutai Master",,
B,"  Tatyova, Benthic Druid",,
B,"  Teferi, Temporal Archmage",,
B,"  Toothy, Imaginary Friend",,
B,"  Uro, Titan of Nature's Wrath",,
B,"  Varolz, the Scar-Striped",,
B,"  Xantcha, Sleeper Agent",,
B,"  Yarok, the Desecrated",,
B,"  Yuriko, the Tiger's Shadow",,
C,"  Alesha, Who Smiles at Death",,
C,"  Aminatou, the Fateshifter",,
C,"  Anafenza, the Foremost",,
C,"  Arixmethes, Slumbering Isle",,
C,"  Atla Palani, Nest Tender",,
C,"  Azami, Lady of Scrolls",,
C,"  Dralnu, Lich Lord",,
C,"  Estrid, the Masked",,
C,"  Ezuri, Claw of Progress",,
C,"  Fblthp, the Lost",,
C,"  Feather, the Redeemed",,
C,"  Gavi, Nest Warden",,
C,"  Ghave, Guru of Spores",,
C,"  Glissa, the Traitor",,
C,  God-Eternal Kefnet,,
C,  Grand Warlord Radha,,
C,"  Grenzo, Dungeon Warden",,
C,"  Jodah, Archmage Eternal",,
C,  Kaalia of the Vast,,
C,"  Kaalia, Zenith Seeker",,
C,"  Kalamax, the Stormsire",,
C,  Kefnet the Mindful,,
C,"  Kydele, Chosen of Kruphix",,
C,"  Lavinia, Azorius Renegade",,
C,  Lord Windgrace,,
C,  Maelstrom Wanderer,,
C,"  Marath, Will of the Wild",,
C,"  Marwyn, the Nurturer",,
C,"  Muldrotha, the Gravetide",,
C,"  Naru Meha, Master Wizard",,
C,"  Okaun, Eye of Chaos",,
C,"  Oloro, Ageless Ascetic",,
C,"  Omnath, Locus of the Roil",,
C,"  Reyhan, Last of the Abzan",,
C,  Riku of Two Reflections,,
C,  Roon of the Hidden Realm,,
C,"  Ruric Thar, the Unbowed",,
C,  Saffi Eriksdotter,,
C,"  Sai, Master Thopterist",,
C,"  Samut, Voice of Dissent",,
C,"  Selvala, Explorer Returned",,
C,  Sen Triplets,,
C,"  Sidisi, Undead Vizier",,
C,"  Siona, Captain of the Pyleas",,
C,"  Syr Carah, the Bold",,
C,"  Tayam, Luminous Enigma",,
C,"  Thada Adel, Acquisitor",,
C,  The Locust God,,
C,  The Mimeoplasm,,
C,  The Scarab God,,
C,"  Tishana, Voice of Thunder",,
C,  Tuvasa the Sunlit,,
C,"  Vadrok, Apex of Thunder",,
C,"  Wort, the Raidmother",,
C,"  Yawgmoth, Thran Physician",,
C,"  Yennett, Cryptic Sovereign",,
C,"  Yeva, Nature's Herald",,
C,"  Zada, Hedron Grinder",,
C,"  Zirda, the Dawnwaker",,
C,"  Zndrsplt, Eye of Wisdom",,
D,"  Alela, Artful Provocateur",,
D,  Ambassador Laquatus,,
D,  Arasta of the Endless Web,,
D,  Arcum Dagsson,,
D,"  Atraxa, Praetors' Voice",,
D,"  Atris, Oracle of Half-Truths",,
D,"  Ayara, First of Locthwain",,
D,"  Azusa, Lost but Seeking",,
D,"  Bruna, Light of Alabaster",,
D,  Captain Sisay,,
D,"  Chainer, Nightmare Adept",,
D,  Child of Alara,,
D,"  Dalakos, Crafter of Wonders",,
D,"  Damia, Sage of Stone",,
D,"  Daretti, Scrap Savant",,
D,"  Ephara, God of the Polis",,
D,"  Erebos, Bleak-Hearted",,
D,"  Erebos, God of the Dead",,
D,"  Ezuri, Renegade Leader",,
D,"  Freyalise, Llanowar's Fury",,
D,  Gaddock Teeg,,
D,"  Gadwick, the Wizened",,
D,  Ghost Council of Orzhova,,
D,"  Greven, Predator Captain",,
D,"  Grismold, the Dreadsower",,
D,"  Gyruda, Doom of Depths",,
D,  Haktos the Unscarred,,
